site_id,lat,lon,pm25,log_pm25,gi_star_z,gi_star_p_sim,significant_hotspot
จุดตรวจวัดอากาศ-1,15.1329699,100.6037821,14.62,2.6823904543216326,-0.27219203986076973,0.436,False
จุดตรวจวัดอากาศ-2,15.1323173,100.860427,13.82,2.626116818339524,-1.4145658232463048,0.054,False
จุดตรวจวัดอากาศ-3,15.1313906,101.1148911,20.54,3.0223742045004123,-1.4250030146254333,0.018,False
จุดตรวจวัดอากาศ-4,15.1301891,101.3710697,12.82,2.551006451492524,-0.30276023943480457,0.415,False
จุดตรวจวัดอากาศ-5,15.1286122,101.6271326,22.62,3.1188344706879745,-0.531935489525885,0.311,False
จุดตรวจวัดอากาศ-6,14.884332,100.6052271,27.29,3.306520334720247,0.33264783757047484,0.305,False
จุดตรวจวัดอากาศ-7,14.8841998,100.8607278,10.98,2.3960754360813845,-0.3711725451946672,0.398,False
จุดตรวจวัดอากาศ-8,14.8838629,101.1151294,7.93,2.0706530356467567,-0.4145930942839078,0.328,False
จุดตรวจวัดอากาศ-9,14.8826264,101.3709489,29.23,3.3751955791231545,-0.7221484407265606,0.149,False
จุดตรวจวัดอากาศ-10,14.8824661,101.6271879,14.23,2.655352412101761,-0.13340992558423934,0.374,False
จุดตรวจวัดอากาศ-11,14.6359424,100.6066765,49.41,3.9001528328576587,0.3838085693698846,0.439,False
จุดตรวจวัดอากาศ-12,14.636086,100.8610166,54.11,3.991019011654644,3.1616590548489767,0.007,True
จุดตรวจวัดอากาศ-13,14.6360004,101.1153643,486.15,6.186517218255666,2.251105235032034,0.159,False
จุดตรวจวัดอากาศ-14,14.6352958,101.3709736,16.68,2.8142103969306005,0.12020088097246924,0.317,False
จุดตรวจวัดอากาศ-15,14.6347281,101.6271853,24.27,3.18924101973851,-0.1284432180473965,0.467,False
จุดตรวจวัดอากาศ-16,14.3825713,100.6081436,10.2,2.322387720290225,0.2642402312332807,0.215,False
จุดตรวจวัดอากาศ-17,14.3844954,100.8613155,21.5,3.068052935133617,-0.020879214998977633,0.435,False
จุดตรวจวัดอากาศ-18,14.3860999,101.1155996,20.04,2.997730276216664,-0.6077781595265103,0.288,False
จุดตรวจวัดอากาศ-19,14.3875364,101.3709222,16.4,2.797281334830153,-0.3369969357498761,0.469,False
จุดตรวจวัดอากาศ-20,14.3888144,101.6273137,28.01,3.332561589272017,-0.21741405688344748,0.393,False
จุดตรวจวัดอากาศ-21,14.1373476,100.609559,11.66,2.4561641809223462,-0.6276668804392395,0.413,False
จุดตรวจวัดอากาศ-22,14.1394116,100.8616033,21.22,3.054944133185837,-1.1911563499729594,0.065,False
จุดตรวจวัดอากาศ-23,14.1412008,101.1158438,12.97,2.5626389983283526,-0.8115122501766644,0.289,False
จุดตรวจวัดอากาศ-24,14.142776,101.3708473,13.32,2.589266665112243,-0.4940828074460442,0.456,False
จุดตรวจวัดอากาศ-25,14.1444556,101.627387,27.08,3.298795448044074,-0.37449992857961556,0.32,False
จุดตรวจวัดอากาศ-survey-0,14.5433117,100.9600049,18.21,2.9019708937395166,2.6420803646698983,0.009,True
จุดตรวจวัดอากาศ-survey-1,14.6079647,101.0272849,21.51,3.068517943279639,3.0851203625543593,0.004,True
จุดตรวจวัดอากาศ-survey-2,14.6718823,101.0938019,29.51,3.3847291889548483,2.251105235032034,0.043,True
จุดตรวจวัดอากาศ-survey-3,14.7358435,101.1608927,43.71,3.7775769088752233,1.7781648411313067,0.142,False
จุดตรวจวัดอากาศ-survey-4,14.8005454,101.2282952,14.23,2.655352412101761,-0.4205460580116722,0.476,False
จุดตรวจวัดอากาศ-survey-5,14.8627756,101.2924572,23.16,3.1424266527047946,-0.4205460580116722,0.345,False
จุดตรวจวัดอากาศ-survey-6,14.9263062,101.3593601,14.51,2.6748380668960965,-1.18643952032599,0.101,False
