site_id,lat,lon,pm25,log_pm25
จุดตรวจวัดอากาศ-1,15.1329699,100.6037821,14.62,2.6823904543216326
จุดตรวจวัดอากาศ-2,15.1323173,100.860427,13.82,2.626116818339524
จุดตรวจวัดอากาศ-3,15.1313906,101.1148911,20.54,3.0223742045004123
จุดตรวจวัดอากาศ-4,15.1301891,101.3710697,12.82,2.551006451492524
จุดตรวจวัดอากาศ-5,15.1286122,101.6271326,22.62,3.1188344706879745
จุดตรวจวัดอากาศ-6,14.884332,100.6052271,27.29,3.306520334720247
จุดตรวจวัดอากาศ-7,14.8841998,100.8607278,10.98,2.3960754360813845
จุดตรวจวัดอากาศ-8,14.8838629,101.1151294,7.93,2.0706530356467567
จุดตรวจวัดอากาศ-9,14.8826264,101.3709489,29.23,3.3751955791231545
จุดตรวจวัดอากาศ-10,14.8824661,101.6271879,14.23,2.655352412101761
จุดตรวจวัดอากาศ-11,14.6359424,100.6066765,49.41,3.9001528328576587
จุดตรวจวัดอากาศ-12,14.636086,100.8610166,54.11,3.991019011654644
จุดตรวจวัดอากาศ-13,14.636,101.1153611111111,486.15,6.186517218255666
จุดตรวจวัดอากาศ-14,14.6352958,101.3709736,16.68,2.8142103969306005
จุดตรวจวัดอากาศ-15,14.6347281,101.6271853,24.27,3.18924101973851
จุดตรวจวัดอากาศ-16,14.3825713,100.6081436,10.2,2.322387720290225
จุดตรวจวัดอากาศ-17,14.3844954,100.8613155,21.5,3.068052935133617
จุดตรวจวัดอากาศ-18,14.3860999,101.1155996,20.04,2.997730276216664
จุดตรวจวัดอากาศ-19,14.3875364,101.3709222,16.4,2.797281334830153
จุดตรวจวัดอากาศ-20,14.3888144,101.6273137,28.01,3.332561589272017
จุดตรวจวัดอากาศ-21,14.1373476,100.609559,11.66,2.4561641809223462
จุดตรวจวัดอากาศ-22,14.1394116,100.8616033,21.22,3.054944133185837
จุดตรวจวัดอากาศ-23,14.1412008,101.1158438,12.97,2.5626389983283526
จุดตรวจวัดอากาศ-24,14.142776,101.3708473,13.32,2.589266665112243
จุดตรวจวัดอากาศ-25,14.1444556,101.627387,27.08,3.298795448044074
จุดตรวจวัดอากาศ-survey-0,14.5433117,100.9600049,18.21,2.9019708937395166
จุดตรวจวัดอากาศ-survey-1,14.6079647,101.0272849,21.51,3.068517943279639
จุดตรวจวัดอากาศ-survey-2,14.6718823,101.0938019,29.51,3.3847291889548483
จุดตรวจวัดอากาศ-survey-3,14.7358435,101.1608927,43.71,3.7775769088752233
จุดตรวจวัดอากาศ-survey-4,14.8005454,101.2282952,14.23,2.655352412101761
จุดตรวจวัดอากาศ-survey-5,14.8627756,101.2924572,23.16,3.1424266527047946
จุดตรวจวัดอากาศ-survey-6,14.9263062,101.3593601,14.51,2.6748380668960965
