site_id,lat,lon,coord_method
จุดตรวจวัดอากาศ-1,15.1329699,100.6037821,pin_3d4d
จุดตรวจวัดอากาศ-2,15.1323173,100.860427,pin_3d4d
จุดตรวจวัดอากาศ-3,15.1313906,101.1148911,pin_3d4d
จุดตรวจวัดอากาศ-4,15.1301891,101.3710697,pin_3d4d
จุดตรวจวัดอากาศ-5,15.1286122,101.6271326,pin_3d4d
จุดตรวจวัดอากาศ-6,14.884332,100.6052271,pin_3d4d
จุดตรวจวัดอากาศ-7,14.8841998,100.8607278,pin_3d4d
จุดตรวจวัดอากาศ-8,14.8838629,101.1151294,pin_3d4d
จุดตรวจวัดอากาศ-9,14.8826264,101.3709489,pin_3d4d
จุดตรวจวัดอากาศ-10,14.8824661,101.6271879,pin_3d4d
จุดตรวจวัดอากาศ-11,14.6359424,100.6066765,pin_3d4d
จุดตรวจวัดอากาศ-12,14.636086,100.8610166,pin_3d4d
จุดตรวจวัดอากาศ-13,14.6360004,101.1153643,pin_3d4d
จุดตรวจวัดอากาศ-14,14.6352958,101.3709736,pin_3d4d
จุดตรวจวัดอากาศ-15,14.6347281,101.6271853,pin_3d4d
จุดตรวจวัดอากาศ-16,14.3825713,100.6081436,pin_3d4d
จุดตรวจวัดอากาศ-17,14.3844954,100.8613155,pin_3d4d
จุดตรวจวัดอากาศ-18,14.3860999,101.1155996,pin_3d4d
จุดตรวจวัดอากาศ-19,14.3875364,101.3709222,pin_3d4d
จุดตรวจวัดอากาศ-20,14.3888144,101.6273137,pin_3d4d
จุดตรวจวัดอากาศ-21,14.1373476,100.609559,pin_3d4d
จุดตรวจวัดอากาศ-22,14.1394116,100.8616033,pin_3d4d
จุดตรวจวัดอากาศ-23,14.1412008,101.1158438,pin_3d4d
จุดตรวจวัดอากาศ-24,14.142776,101.3708473,pin_3d4d
จุดตรวจวัดอากาศ-25,14.1444556,101.627387,pin_3d4d
จุดตรวจวัดอากาศ-survey-0,14.5433117,100.9600049,pin_3d4d
จุดตรวจวัดอากาศ-survey-1,14.6079647,101.0272849,pin_3d4d
จุดตรวจวัดอากาศ-survey-2,14.6718823,101.0938019,pin_3d4d
จุดตรวจวัดอากาศ-survey-3,14.7358435,101.1608927,pin_3d4d
จุดตรวจวัดอากาศ-survey-4,14.8005454,101.2282952,pin_3d4d
จุดตรวจวัดอากาศ-survey-5,14.8627756,101.2924572,pin_3d4d
จุดตรวจวัดอากาศ-survey-6,14.9263062,101.3593601,pin_3d4d
