Site_ID,Map_Link,Address,PM0.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10.0,TPM,RH,Temp,Wind_Direction,Date,Time
จุดตรวจวัดอากาศ-1,https://goo.gl/maps/WfoDxiiEE7WW73dg7,ตำบล ดอนดึง อำเภอ บ้านหมี่ ลพบุรี,5.25,2.18,6.16,14.62,14.62,19.49,62.32,55.0,31.6,SW->NE,5/6/66,13:40:00
จุดตรวจวัดอากาศ-2,https://goo.gl/maps/ki5HpmiGYmLMLehp6,ตำบล ดงมะรุม อำเภอ โคกสำโรง ลพบุรี,3.36,1.14,4.61,13.82,13.82,27.64,64.38,45.0,26.7,SW->NE,29/6/66,1900-01-11 11:14:00
จุดตรวจวัดอากาศ-3,https://goo.gl/maps/LKo17w2rPLGpyF1R9,ตำบล ท่าดินดำ อำเภอชัยบาดาล ลพบุรี,6.63,2.24,7.82,20.54,19.49,22.28,79.06,61.0,28.8,SW->NE,13/6/66,11:28:00
จุดตรวจวัดอากาศ-4,https://goo.gl/maps/u8W3g37F66Gr1KYg7,ตำบล เขาน้อย อำเภอ ลำสนธิ ลพบุรี,6.71,1.74,5.04,12.82,6.84,0.0,33.15,44.0,30.1,SW->NE,13/6/66,13:58:00
จุดตรวจวัดอากาศ-5,https://goo.gl/maps/W1ouPwjpihGmuyqU8,ตำบล หินดาด อำเภอด่านขุนทด นครราชสีมา,7.11,2.05,7.0,22.62,18.69,39.01,96.48,44.0,30.7,SW->NE,13/6/66,14:50:00
จุดตรวจวัดอากาศ-6,https://goo.gl/maps/Z3n3LPXGJSb8ahe9A,ตำบล ท่าแค อำเภอเมืองลพบุรี ลพบุรี,2.99,1.58,8.32,27.29,18.19,36.38,94.75,46.0,28.0,SW->NE,29/6/66,10:40:00
จุดตรวจวัดอากาศ-7,https://goo.gl/maps/JvGuBtKRHAfgNWud7,ตำบล โคกตูม อำเภอเมืองลพบุรี ลพบุรี,4.43,1.53,3.63,10.98,12.55,100.37,133.49,50.0,30.1,SW->NE,5/6/66,11:56:00
จุดตรวจวัดอากาศ-8,https://goo.gl/maps/3CMy9Vas7P4rXAKX6,ตำบล วังม่วง อำเภอ วังม่วง สระบุรี,4.0,1.38,2.66,7.93,11.42,30.46,57.85,57.0,31.1,SW->NE,5/6/23,13:15:00
จุดตรวจวัดอากาศ-9,https://goo.gl/maps/LE18dSbTMQAjN7RS6,ตำบล ลำพญากลาง อำเภอมวกเหล็ก สระบุรี,2.03,2.35,11.95,29.23,35.58,0.0,81.14,63.0,27.7,SW->NE,28/6/66,10:10:00
จุดตรวจวัดอากาศ-10,https://goo.gl/maps/7K2xm4WhbBm2KNqN6,ตำบล ลาดบัวขาว อำเภอสีคิ้ว นครราชสีมา,1.46,1.51,5.32,14.23,16.26,32.53,71.31,33.0,28.2,W->E,25/6/66,10:05:00
จุดตรวจวัดอากาศ-11,https://goo.gl/maps/UVw8EbW11cwiKsVF7,ตำบล ดงตะงาว อำเภอ ดอนพุด สระบุรี,3.35,2.64,13.76,49.41,40.17,58.43,167.76,31.0,30.9,W->E,24/6/66,13:55:00
จุดตรวจวัดอากาศ-12,https://goo.gl/maps/PNVM67hdwJaF3GSM9,ตำบล หัวปลวก อำเภอ เสาไห้ สระบุรี,3.06,2.4,13.35,54.11,90.51,31.48,194.91,31.0,28.9,W->E,24/6/66,15:40:00
จุดตรวจวัดอากาศ-13,https://goo.gl/maps/YGARqqfrip6HjQJJ8,ตำบล ทับกวาง อำเภอแก่งคอย สระบุรี,11.01,12.05,96.94,486.15,786.48,1664.11,3056.74,51.0,28.9,SW->NE,7/6/66,11:29:00
จุดตรวจวัดอากาศ-14,https://goo.gl/maps/5QsUkaDQdCe3LRwUA,ตำบลหนองน้ำแดง อำเภอปากช่อง นครราชสีมา,9.04,2.69,7.26,16.68,6.33,3.38,45.38,36.0,26.7,SW->NE,7/6/66,10:03:00
จุดตรวจวัดอากาศ-15,https://goo.gl/maps/dTrW1YifTE7wmqDt7,ตำบล คลองม่วง อำเภอปากช่อง นครราชสีมา,3.22,1.32,7.13,24.27,11.7,0.0,47.64,39.0,30.0,W->E,23/6/66,10:05:00
จุดตรวจวัดอากาศ-16,https://goo.gl/maps/d4NoQXmiGD1EhH3Z7,เทศบาลนครพระนครศรีอยุธยา อำเภอ พระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา,2.79,1.41,4.9,10.2,13.2,35.21,67.71,30.0,32.9,W->E,16/6/66,13:01:00
