_id,FID,DISPFACREG,FNAME,ONAME,FADDR,FMOO,FSOI,FROAD,FTUMNAME,FAMPNAME,FPROVNAME,OBJECT,STATUS,LAT,LNG,Last_update
1,40190000925561,3-88(1)-9/56สบ,บริษัท อินฟินิท กรีน จำกัด,บริษัท อินฟินิท กรีน จำกัด,โฉนด31541,1,NULL,บ้านเขาเกตุ-บ้านดง,ชำผักแพว,แก่งคอย,สระบุรี,โรงงานผลิตไฟฟ้าจากพลังงานแสงอาทิตย์ 1.68 เมกะวัตต์,ดำเนินกิจการ,14.5560378060072,101.0759851652,2023-04-18 21:00:05.000
2,20110001625592,จ3-64(13)-16/59สป,-,นางสมคิด เอี่ยมภิรมย์,290/81,12,NULL,NULL,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,กลึง เจาะ กัด ไส เจียน หรือเชื่อมโลหะทั่วไป และทำชิ้นส่วนแม่พิมพ์โลหะ,ดำเนินกิจการ,13.603355,100.540314,2023-04-18 21:00:05.000
3,10260000125334,3-3(4)-1/33นย,บ่อทรายสามชัย,นายสุรชัย สุภาวิมล,185,2,NULL,บ้านนา-แก่งคอย,เขาเพิ่ม,บ้านนา,นครนายก,ดูดทราย,ดำเนินกิจการ,14.34767,101.08634,2023-04-18 21:00:05.000
4,10260000125201,3-34(1)-1/20นย,บริษัท ลิ้มเจริญค้าว้สถุก่อสร้าง จำกัด,บริษัท ลิ้มเจริญค้าวัสดุก่อสร้าง จำกัด,120,1,NULL,NULL,องครักษ์,องครักษ์,นครนายก,ไสไม้และซอยไม้,ดำเนินกิจการ,14.1207,100.99979,2023-04-18 21:00:05.000
5,10260001325156,3-9(1)-13/15นย,ห้างหุ้นส่วนจำกัด ตี่ฮั่วเชียง,ห้างหุ้นส่วนจำกัด ตี่ฮั่วเชียง,22,5,NULL,รังสิต-นครนายก,พระอาจารย์,องครักษ์,นครนายก,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน,หยุดชั่วคราว,13.97137,100.96136,2023-04-18 21:00:05.000
6,20260000125373,จ3-53(5)-1/37นย,บริษัท บีดี สตรอว์ จำกัด,บริษัท บีดี สตรอว์ จำกัด,50/1,13,NULL,นครนายก-รังสิต,ท่าช้าง,เมืองนครนายก,นครนายก,ผลิตภัณฑ์จากพลาสติก เช่น หลอดดูด ฝาจุก ก้านพันสำลี,ดำเนินกิจการ,14.197485,101.19652,2023-04-18 21:00:05.000
7,10260003225156,3-9(1)-32/15นย,โรงสีไพบูลย์ศิริ,นายสันตชัย เหมยากร,228,4,NULL,NULL,หนองแสง,ปากพลี,นครนายก,สีข้าว ชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),หยุดชั่วคราว,14.20365,101.30221,2023-04-18 21:00:05.000
8,10260000125367,3-22(1)-1/36นย,บริษัท บ้านนาสปินเท็กซ์ จำกัด,บริษัท บ้านนาสปินเท็กซ์ จำกัด,19,  3,NULL,NULL,ป่าขะ,บ้านนา,นครนายก,ปั่นด้าย (จำนวนแกนปั่นด้าย 1400 แกน),ดำเนินกิจการ,14.2915,101.06948,2023-04-18 21:00:05.000
9,10260100125358,3-65-1/35นย,บริษัท โปรแค็ป จำกัด,บริษัท โปรแค็ป จำกัด,85,5,NULL,ขุนหนองแสง,หนองแสง,ปากพลี,นครนายก,ผลิตชิ้นส่วนหรืออุปกรณ์ของยานพาหนะ และงานสร้างประกอบเหล็ก,ดำเนินกิจการ,14.2092,101.29352,2023-04-18 21:00:05.000
10,20260000125241,จ3-43(1)-1/24นย,ห้างหุ้นส่วนจำกัด ปุ๋ยประเสริฐสุข,ห้างหุ้นส่วนจำกัด ปุ๋ยประเสริฐสุข,109,  8,NULL,NULL,ท่าช้าง,เมืองนครนายก,นครนายก,ผสมปุ๋ยเคมี,ดำเนินกิจการ,14.171947,101.166187,2023-04-18 21:00:05.000
11,10260000125383,3-50(4)-1/38นย,ห้างหุ้นส่วนจำกัด นครนายกการโยธา,ห้างหุ้นส่วนจำกัด นครนายกการโยธา,16/2,8,NULL,NULL,พรหมณี,เมืองนครนายก,นครนายก,ทำแอสฟัลติกคอนกรีต,ดำเนินกิจการ,14.22421,101.18055,2023-04-18 21:00:05.000
12,20260000425351,จ3-64(13)-4/35นย,นายสมรักษ์ วิศิษฎ์เจริญ,นายสมรักษ์ วิศิษฎ์เจริญ,59,4,NULL,หนองปราจีน,บ้านใหญ่,เมืองนครนายก,นครนายก,กลึงโลหะ,หยุดชั่วคราว,14.19825,101.23164,2023-04-18 21:00:05.000
13,20260000425369,จ3-60-4/36นย,-,นางสาวสำราญ ศรีส้มป่อย,40/1,8,NULL,NULL,ศรีนาวา,เมืองนครนายก,นครนายก,หล่อทองเหลือง,ดำเนินกิจการ,14.22265,101.26796,2023-04-18 21:00:05.000
14,10260000125151,3-14-1/15นย,ห้างหุ้นส่วนจำกัด นครนายกศรีมงคล,ห้างหุ้นส่วนจำกัด นครนายกศรีมงคล,134,  1, ,NULL,ท่าช้าง,เมืองนครนายก,นครนายก,ทำน้ำแข็ง ได้วันละ 364 ซอง,ดำเนินกิจการ,14.20189,101.20157,2023-04-18 21:00:05.000
15,20260100125364,จ3-33-1/36นย,บริษัท ยูเม็ค เทรดดิ้ง จำกัด,บริษัท ยูเม็ค เทรดดิ้ง จำกัด,271,3,ท่าแดง-น้ำตกวังม่วง,-,เกาะหวาย,ปากพลี,นครนายก,"ทำรองเท้าจากผ้า, ถุงมือผ้าและผ้ากันเปื้อน,ผ้าฝ้ายทำความสะอาด",ดำเนินกิจการ,14.16762,101.27323,2023-04-18 21:00:05.000
16,20260300125370,จ3-64(2)-1/37นย,NULL,นายคำตัน ทาภู่,124,1,NULL,สุวรรณศร,เกาะโพธิ์,ปากพลี,นครนายก,ปั๊มโลหะ เช่น น๊อต แผ่นเหล็ก จานหมุนอุปกรณ์ไฟฟ้า,ดำเนินกิจการ,14.17766,101.24382,2023-04-18 21:00:05.000
17,260000125351,ศ3-14-1/35นย,ห้างหุ้นส่วนจำกัด เก๋าไซร์ ไอซ์ นครนายก,ห้างหุ้นส่วนจำกัด เก๋าไซร์ ไอซ์ นครนายก,117,3,NULL,NULL,ทองหลาง,บ้านนา,นครนายก,ผลิตน้ำแข็งหลอด,ดำเนินกิจการ,14.22746,101.05657,2023-04-18 21:00:05.000
