name,category,lat,lon,dist_nearest_station_km
บริษัท ธนาพรชัย จำกัด,Other manufacturing,14.52086,100.9135,1.4818154033191628
บริษัท สระบุรีศุภภัณฑ์(1984) จำกัด,Other manufacturing,14.506522,100.91731,2.3962729255484723
บริษัท ห้างขายยาตราเสือ 11 ตัว จำกัด,Other manufacturing,14.52641,100.91466,1.2257224828850524
บริษัท สระบุรีหล่อยางรถไถ จำกัด,Other manufacturing,14.54869,100.90852,3.119861658252326
บริษัท กิจวาณิช คอนกรีต จำกัด,Cement/Quarry/Stone,14.5541,100.92047,3.1442683828972826
บริษัท สยามสระบุรีค้าเหล็ก จำกัด,Other manufacturing,14.52452,100.92989,0.46066044627443
ห้างหุ้นส่วนจำกัด สมุชัยการช่างสระบุรี 2002,Other manufacturing,14.52825,100.91303,1.4171024800825414
บริษัท เทพมงคลยนต์ จำกัด,Other manufacturing,14.52298,100.91902,0.8437828744597294
บริษัท เวลล์ เทค เอ็นจิเนียริ่ง เซนเตอร์แอนแมชชีน จำกัด,Cement/Quarry/Stone,14.548742,100.8554881,7.992574621881035
บริษัท โตโยต้าสระบุรี จำกัด,Other manufacturing,14.50719,100.91702,2.340921684028939
แอดวานซ์ อินดัสเทรียล เซอร์วิส,Other manufacturing,14.542,100.887253,4.524053263021114
ห้างหุ้นส่วนจำกัด ศรีสกุลการช่าง (2000),Other manufacturing,14.52655,100.93607,1.079123665507634
บริษัท ออโต้ แกลเลอรี่ สระบุรี บอดี้เพ้นท์ จำกัด,Other manufacturing,14.5031914,100.914995,2.8359516052751994
บริษัท จึงกงเฮงอีซูซุ จำกัด,Other manufacturing,14.508533,100.917039,2.205030022114307
บริษัท จึงกงเฮงอีซูซุ จำกัด,Other manufacturing,14.508156,100.917136,2.2382611379481614
บริษัท โชคพัฒนาสระบุรีเซอร์วิส จำกัด,Other manufacturing,14.52069,100.91753,1.1115808962987477
บี-ควิก สาขาโลตัส สระบุรี,Other manufacturing,14.5375606,100.9463388,2.5152359861080718
บริษัท ลีพัฒนาอาหารสัตว์ จำกัด,Other manufacturing,14.56788,100.9026,5.263174350152112
