name,category,lat,lon,dist_nearest_station_km
บริษัท กิจวาณิช คอนกรีต จำกัด,Cement/Quarry/Stone,14.5541,100.92047,3.1442683828972826
บริษัท เวลล์ เทค เอ็นจิเนียริ่ง เซนเตอร์แอนแมชชีน จำกัด,Cement/Quarry/Stone,14.548742,100.8554881,7.992574621881035
ห้างหุ้นส่วนจำกัด สระบุรีกุลประเสริฐ (1993),Waste/Recycling,14.56552,100.90337,4.993438812971496
บริษัท ปัญญาสตีล (2005) จำกัด,Waste/Recycling,14.56311,100.91206,4.356670363476368
บริษัท โชคพัฒนาค้าเหล็ก (1994) จำกัด,Waste/Recycling,14.55206,100.89367,4.50794963007079
ห้างหุ้นส่วนจำกัด เมคคานิเทค,Cement/Quarry/Stone,14.4598938591382,100.884063594,8.66157735181794
หน่วยผลิตคอนกรีตผสมเสร็จปากข้าวสาร,Cement/Quarry/Stone,14.4823261442557,100.9124799975,5.1077113448740015
บริษัท ไทยพีค่อนและอุตสาหกรรม จำกัด,Cement/Quarry/Stone,14.55467,100.96672,5.393167413420556
บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),Cement/Quarry/Stone,14.55534,100.96736,5.492626522288406
บริษัท คอนวูด จำกัด,Cement/Quarry/Stone,14.55845,100.97191,6.092076851506025
บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),Cement/Quarry/Stone,14.5553,100.96727,5.482173995464842
บริษัท สระบุรีสรรพกิจ จำกัด,Cement/Quarry/Stone,14.54857,100.9629,4.673640545250949
กิตติชัยซีเมนต์บล๊อก,Cement/Quarry/Stone,14.54807,100.96054,4.4295066496776565
บริษัท นนทบุรี เอ็นจิเนียริ่ง จำกัด,Cement/Quarry/Stone,14.5560996426267,100.9796841347,6.654102881590264
บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),Cement/Quarry/Stone,14.5553,100.96732,5.486530522303572
บริษัท สระบุรี โซล่าร์ จำกัด,Power/Energy,14.5432949236765,100.9644692168,4.544937596866395
บริษัท สระบุรี โซล่าร์ จำกัด,Power/Energy,14.5523862,100.9559243,4.32753034223288
บริษัท อริยสิน จำกัด,Cement/Quarry/Stone,14.54883,100.93779,2.801746901360745
บริษัท ศุภภัณฑ์ คอนกรีต จำกัด,Cement/Quarry/Stone,14.55746,100.9253,3.4609865573776326
บริษัท พงศ์ศิริ คอนกรีต 2016 จำกัด,Cement/Quarry/Stone,14.5548594029997,100.926063996699,3.1708798674498504
บริษัท สยามไฟเบอร์ซีเมนต์กรุ๊ป จำกัด,Cement/Quarry/Stone,14.53646,100.94931,2.7450761472494576
บริษัท พี เอส ที คอนกรีต จำกัด,Cement/Quarry/Stone,14.5829536,100.8169747,12.880516056777534
ห้างหุ้นส่วนจำกัด มาลัย รุ่งเรืองกรุ๊ป,Waste/Recycling,14.5818905,100.7762689,15.480802946376672
บริษัท รุ่งเรืองสอดส่อง จำกัด,Cement/Quarry/Stone,14.6510316,100.8640536,3.9629319238546064
บริษัท เอส.เอส. คอนกรีตโปรดักส์ จำกัด,Cement/Quarry/Stone,14.65225,100.86419,3.827503116834101
บริษัท มากอตโต จำกัด,Cement/Quarry/Stone,14.5102682,100.7723625,16.63952823610412
ห้างหุ้นส่วนจำกัด สมอนงค์ เซอร์วิส,Waste/Recycling,14.6686599566677,100.8594031418,2.3412089163768166
บริษัท ทีทีวี คอนกรีต จำกัด,Cement/Quarry/Stone,14.59569,100.87658,9.37032368117234
บริษัท เอ.เอส.แมคเคมิคอล แอนด์ รีแฟคทอรี่ จำกัด,Cement/Quarry/Stone,14.56833,100.7854,15.84144915211408
บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),Cement/Quarry/Stone,14.63973,101.1325,25.54517443095298
บริษัท สหชัยธุรกิจก่อสร้าง 1993 จำกัด,Cement/Quarry/Stone,14.62953,101.17353,28.999338954528888
บริษัท ๙ ปฏิมากร จำกัด,Waste/Recycling,14.64305,101.1921,31.43422799615495
บริษัท ศิลากาญจน์อุตสาหกรรม จำกัด,Cement/Quarry/Stone,14.7671921,101.1150219,27.6569946500044
บริษัท ซันฟู้ด อินเตอร์เนชั่นแนล จำกัด,Power/Energy,14.79746,101.11806,29.2270484703673
บริษัท สหชัยธุรกิจก่อสร้าง 1993 จำกัด,Cement/Quarry/Stone,14.84243,101.10569,30.57126559230684
ห้างหุ้นส่วนจำกัด สุขเกษมคอนกรีต,Cement/Quarry/Stone,14.8226075115125,101.1219019478,30.87729309925625
บริษัท วังม่วงคอนกรีต 2020 จำกัด,Cement/Quarry/Stone,14.8463986235168,101.1401614505,33.91399058332307
บริษัท จรัญธุรกิจ 52 จำกัด,Cement/Quarry/Stone,14.616431,100.89908,8.248874141348988
บริษัท ทรายปูนก่อสร้าง จำกัด,Cement/Quarry/Stone,14.573593,100.9278196,5.25742301260113
บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),Power/Energy,14.6182687040146,100.9317228844,9.885715613870229
บริษัท ศิลาธงชัย จำกัด,Cement/Quarry/Stone,14.64297,100.88706,5.034094898560137
บริษัท นวคุณนวกิจ จำกัด,Cement/Quarry/Stone,14.6610883052854,100.9402675938,7.842382292866639
บริษัท นครหลวงวัสดุภัณฑ์ จำกัด,Cement/Quarry/Stone,14.62374,100.89537,7.348054080559777
บริษัท 168 พุแคคอนกรีต จำกัด,Cement/Quarry/Stone,14.6309753993379,100.9064146968,7.135683948786339
บริษัท ปูนซีเมนต์คุณภาพ จำกัด,Cement/Quarry/Stone,14.62773,100.88706,6.660895624783861
บริษัท วงกลม จำกัด ,Cement/Quarry/Stone,14.62875,100.88897,6.604770946643838
,Cement/Quarry/Stone,14.6033009744644,100.8960861128,9.144670342765563
นางเสนาะ คัมภิรานนท์,Waste/Recycling,14.6260871994879,100.8696491481,6.648225367678188
บริษัท ศิลาไทยสระบุรี จำกัด,Cement/Quarry/Stone,14.6860803,100.8627741,0.9923087510604116
โรงโม่ทวีบุญ,Cement/Quarry/Stone,14.7008,100.85917,2.1616868982365145
บริษัท ศิลาเลิศจิต จำกัด,Cement/Quarry/Stone,14.70333,100.88874,2.651168309967254
บริษัท ศิลาสินทรัพย์ จำกัด,Cement/Quarry/Stone,14.70101,100.85805,2.257885015348058
บริษัท กรุงเทพแต่งแร่ จำกัด,Cement/Quarry/Stone,14.68204,100.85951,1.407701398553203
เมฆรารัตน์,Cement/Quarry/Stone,14.70159,100.85664,2.4078725677419817
บริษัท เมฆรารัตน์ จำกัด,Cement/Quarry/Stone,14.70155,100.85664,2.4046381491049225
บริษัท ดาวหน้าพระลานกรุ๊ป (1994) จำกัด,Cement/Quarry/Stone,14.69636,100.88209,1.5965415334773705
บริษัท คูเปงเซ็ง เคมีภัณฑ์ 555 จำกัด,Cement/Quarry/Stone,14.68432,100.86183,1.106347970696756
บริษัท ศิลาชัยเจริญ จำกัด,Cement/Quarry/Stone,14.711684,100.8928805,3.648066995238133
บริษัท สหศิลาเพิ่มพูล จำกัด,Cement/Quarry/Stone,14.70167,100.85282,2.7120409828124594
โรงโม่หินศิลาชัย,Cement/Quarry/Stone,14.70756,100.86209,2.640441296512512
ห้างหุ้นส่วนจำกัด ศิลาพรพิศ,Cement/Quarry/Stone,14.70985,100.86185,2.884926168428696
บริษัท โรงโม่หน้าพระลาน จำกัด,Cement/Quarry/Stone,14.69532,100.87685,1.1770349374801183
บริษัท ศิลามหานคร จำกัด,Cement/Quarry/Stone,14.70723,100.86222,2.601225972475243
บริษัท ศิลาคุ้งเขาเขียว จำกัด,Cement/Quarry/Stone,14.70653,100.8593,2.6760349370188665
โรงโม่หินสระบุรีศิลากิจ,Cement/Quarry/Stone,14.69722,100.86283,1.6047373552887456
บริษัท ศิลาสานนท์ จำกัด,Cement/Quarry/Stone,14.70287,100.85325,2.76663244606376
บริษัท สหศิลาเพิ่มพูล จำกัด,Cement/Quarry/Stone,14.70091,100.85215,2.714249488389322
บริษัท ไกรสิน จำกัด,Cement/Quarry/Stone,14.7118,100.8996,4.141480849481072
ศิลาเจริญกิจ,Cement/Quarry/Stone,14.70595,100.86398,2.397313484583774
บริษัท ส.ศิลาทองสระบุรี จำกัด,Cement/Quarry/Stone,14.7064,100.86788,2.3294012724326785
ห้างหุ้นส่วนจำกัด จงชนะคอนสตรัคชั่น,Cement/Quarry/Stone,14.6864107,100.8631876,0.9496251410170274
ศิลาทรายกรีต,Cement/Quarry/Stone,14.7233,100.90569,5.52171289057774
ห้างหุ้นส่วนจำกัด ดาวมหาราชบ้านหมอ,Cement/Quarry/Stone,14.70553,100.86883,2.21652043044306
บริษัท ศิลาทองมา จำกัด,Cement/Quarry/Stone,14.71686,100.9017,4.702081410820602
ห้างหุ้นส่วนจำกัด ศิลานิล,Cement/Quarry/Stone,14.7081205,100.860556,2.766904916069692
บริษัท ศิลาสากล สระบุรี จำกัด,Cement/Quarry/Stone,14.730151,100.913781,6.66939921815913
บริษัท สานนท์ จำกัด,Cement/Quarry/Stone,14.70777,100.85389,3.1213078895624093
บริษัท พรพิศศิลา จำกัด,Cement/Quarry/Stone,14.68311,100.85878,1.4534395287133397
บริษัท พรรณทิพาแคลเซียม จำกัด,Cement/Quarry/Stone,14.70088,100.85509,2.471022825494867
บริษัท ศิลาภูพระลาน จำกัด,Cement/Quarry/Stone,14.7060191,100.8730396,2.247396754911462
บริษัท เหมืองหินศิริพัฒนาหน้าพระลาน จำกัด,Cement/Quarry/Stone,14.70395,100.89033,2.819029655679804
บริษัท สินชัย1992 จำกัด,Cement/Quarry/Stone,14.6284260835077,100.9271136644,8.712320571627552
บริษัท โรงโม่หินทรัพย์ทวีสิน จำกัด,Cement/Quarry/Stone,14.709673259822,100.8910514375,3.350812415188614
บริษัท ไมล์สโตน คอนสตรัคชัน จำกัด,Cement/Quarry/Stone,14.69248,100.89633,2.719736081831957
บริษัท ทองอินทร์ การโยธา 2019 จำกัด,Cement/Quarry/Stone,14.7091241698142,100.8732453954,2.5933438929344312
บริษัท ส.สุคนธชาติ จำกัด,Cement/Quarry/Stone,14.608100384231,100.8944791054,8.975523843441751
บริษัท ที.ดี.ดี. ก่อสร้าง จำกัด,Cement/Quarry/Stone,14.5310795338882,100.9057461535,2.2477409380213764
บริษัท ไลม์มาสเตอร์ จำกัด,Cement/Quarry/Stone,14.70395,100.89033,2.819029655679804
สัมพันธ์,Cement/Quarry/Stone,14.70093,100.85219,2.7122430538190985
ห้างหุ้นส่วนจำกัด ศรีแสงไทย สระบุรี,Cement/Quarry/Stone,14.70893,100.90633,4.498124502972964
บริษัท ทิพย์เคมี จำกัด ,Cement/Quarry/Stone,14.69557,100.87852,1.2902176847978677
บริษัท สยาม พี.พี. อินเตอร์เนชั่นแนล จำกัด,Cement/Quarry/Stone,14.708796,100.907955,4.634461687766011
ห้างหุ้นส่วนจำกัด โกวิทปูนขาว,Cement/Quarry/Stone,14.69329,100.86878,0.89844147982966
บริษัท แอลไพน์ คอนกรีต โปรดักท์ จำกัด,Cement/Quarry/Stone,14.70745,100.90751,4.513144059333511
บริษัท ซีวิลเอนจิเนียริ่ง จำกัด,Cement/Quarry/Stone,14.73701,100.90966,6.985109782710506
บริษัท กิจธนาทรัพย์ จำกัด,Cement/Quarry/Stone,14.70574,100.89603,3.403267939441183
บริษัท ธวัชชัยหินอ่อน สระบุรี จำกัด,Cement/Quarry/Stone,14.5629053295876,100.9158162142,4.212030398203546
พูนธนะกลการ,Cement/Quarry/Stone,14.69918,100.8629,1.7775796048766566
บริษัท กูรู มิล จำกัด,Waste/Recycling,14.7002296,100.9112279,4.51317978600532
บริษัท ไพโร เอนเนอร์ยี่ จำกัด,Waste/Recycling,14.697825,100.928413,6.212954549410889
ห้างหุ้นส่วนจำกัด ยุทธวัฒน์การช่าง,Cement/Quarry/Stone,14.5761,100.99591,9.335407210918738
โรงงานเก็บและบดถ่านหิน ลิกไนท์ บริษัท ปูนซีเมนต์นครหลวง จำกัด,Cement/Quarry/Stone,14.626945,101.087516,20.66598024915017
โรงงานบริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),Cement/Quarry/Stone,14.627088,101.087043,20.63182298909468
โรงงานปูนซีเมนต์บริษัท ทีพีไอ โพลีน จำกัด (มหาชน) (โรงที่ 4),Cement/Quarry/Stone,14.63929,101.13155,25.432134735824388
ปูนซิเมนต์บริษัท ทีพีไอ โพลีน จำกัด (มหาชน) โรงที่ 3,Cement/Quarry/Stone,14.63634,101.11393,23.630433023003352
บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),Cement/Quarry/Stone,14.629478,101.099329,21.89192057060686
บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),Cement/Quarry/Stone,14.63634,101.11392,23.62951226439399
บริษัท เคมีแมน จำกัด (มหาชน),Cement/Quarry/Stone,14.59008,101.12309,22.35963233426726
บริษัท เอส.อาร์.พี.ทราฟฟิค จำกัด,Cement/Quarry/Stone,14.59326,101.03517,13.903000043945273
บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),Cement/Quarry/Stone,14.63848,101.12771,25.028676831814423
โรงงานผลิตปูนซีเมนต์สำเร็จรูป (มอร์ต้า),Cement/Quarry/Stone,14.626179,101.099181,21.688441119179924
บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),Cement/Quarry/Stone,14.63627,101.11389,23.622724317506385
บริษัท ซันไชน์ เอนจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด,Cement/Quarry/Stone,14.5936,101.0444,14.770807371654788
ห้างหุ้นส่วนจำกัด นิธิกร เอ็นจิเนียริ่ง,Cement/Quarry/Stone,14.59739,101.04447,14.99489791611239
บริษัท ทีพีไอ โพลีน เพาเวอร์ จำกัด (มหาชน),Power/Energy,14.5894014532301,100.9949495953,10.205720196000364
บริษัท สยามซิตี้ พาวเวอร์ จำกัด,Power/Energy,14.571413,100.9698016,6.876989291085343
บริษัท สยามซิตี้ พาวเวอร์ จำกัด,Cement/Quarry/Stone,14.571413,100.9698016,6.876989291085343
บริษัท ทีพีไอโพลีน จำกัด (มหาชน),Cement/Quarry/Stone,14.63632,101.11392,23.628361993212597
บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),Cement/Quarry/Stone,14.627173,101.087935,20.71761001979116
บริษัท ปูนซิเมนต์นครหลวง จำกัด (มหาชน) โรงงาน 2,Cement/Quarry/Stone,14.629362,101.099359,21.88792152137601
บริษัท ปูนซิเมนต์นครหลวง จำกัด (มหาชน) โรงงาน 3,Cement/Quarry/Stone,14.632696,101.076938,20.08795769268133
