site_id,pm25_field,pm10_field,tpm_field,rh_field,temp_field,winddir_field,date_raw_str,time_raw,date,lat,lon,coord_method
จุดตรวจวัดอากาศ-1,14.62,19.49,62.32,55,31.6,SW->NE,5/6/66,13:40:00,2023-06-05,15.1329699,100.6037821,pin_3d4d
จุดตรวจวัดอากาศ-2,13.82,27.64,64.38,45,26.7,SW->NE,29/6/66,1900-01-11 11:14:00,2023-06-29,15.1323173,100.860427,pin_3d4d
จุดตรวจวัดอากาศ-3,20.54,22.28,79.06,61,28.8,SW->NE,13/6/66,11:28:00,2023-06-13,15.1313906,101.1148911,pin_3d4d
จุดตรวจวัดอากาศ-4,12.82,0.0,33.15,44,30.1,SW->NE,13/6/66,13:58:00,2023-06-13,15.1301891,101.3710697,pin_3d4d
จุดตรวจวัดอากาศ-5,22.62,39.01,96.48,44,30.7,SW->NE,13/6/66,14:50:00,2023-06-13,15.1286122,101.6271326,pin_3d4d
จุดตรวจวัดอากาศ-6,27.29,36.38,94.75,46,28.0,SW->NE,29/6/66,10:40:00,2023-06-29,14.884332,100.6052271,pin_3d4d
จุดตรวจวัดอากาศ-7,10.98,100.37,133.49,50,30.1,SW->NE,5/6/66,11:56:00,2023-06-05,14.8841998,100.8607278,pin_3d4d
จุดตรวจวัดอากาศ-8,7.93,30.46,57.85,57,31.1,SW->NE,5/6/23,13:15:00,2023-06-05,14.8838629,101.1151294,pin_3d4d
จุดตรวจวัดอากาศ-9,29.23,0.0,81.14,63,27.7,SW->NE,28/6/66,10:10:00,2023-06-28,14.8826264,101.3709489,pin_3d4d
จุดตรวจวัดอากาศ-10,14.23,32.53,71.31,33,28.2,W->E,25/6/66,10:05:00,2023-06-25,14.8824661,101.6271879,pin_3d4d
จุดตรวจวัดอากาศ-11,49.41,58.43,167.76,31,30.9,W->E,24/6/66,13:55:00,2023-06-24,14.6359424,100.6066765,pin_3d4d
จุดตรวจวัดอากาศ-12,54.11,31.48,194.91,31,28.9,W->E,24/6/66,15:40:00,2023-06-24,14.636086,100.8610166,pin_3d4d
จุดตรวจวัดอากาศ-13,486.15,1664.11,3056.74,51,28.9,SW->NE,7/6/66,11:29:00,2023-06-07,14.6360004,101.1153643,pin_3d4d
จุดตรวจวัดอากาศ-14,16.68,3.38,45.38,36,26.7,SW->NE,7/6/66,10:03:00,2023-06-07,14.6352958,101.3709736,pin_3d4d
จุดตรวจวัดอากาศ-15,24.27,0.0,47.64,39,30.0,W->E,23/6/66,10:05:00,2023-06-23,14.6347281,101.6271853,pin_3d4d
จุดตรวจวัดอากาศ-16,10.2,35.21,67.71,30,32.9,W->E,16/6/66,13:01:00,2023-06-16,14.3825713,100.6081436,pin_3d4d
จุดตรวจวัดอากาศ-17,21.5,64.19,120.66,34,29.4,S->N,15/6/66,14:38:00,2023-06-15,14.3844954,100.8613155,pin_3d4d
จุดตรวจวัดอากาศ-18,20.04,72.27,145.39,49,34.4,SW->NE,23/6/66,15:16:00,2023-06-23,14.3860999,101.1155996,pin_3d4d
จุดตรวจวัดอากาศ-19,16.4,112.46,146.12,49,29.7,W->E,23/6/66,13:01:00,2023-06-23,14.3875364,101.3709222,pin_3d4d
จุดตรวจวัดอากาศ-20,28.01,0.0,54.13,49,27.9,W->E,23/6/66,12:13:00,2023-06-23,14.3888144,101.6273137,pin_3d4d
จุดตรวจวัดอากาศ-21,11.66,78.18,137.37,30,31.4,W->E,24/6/66,14:14:00,2023-06-24,14.1373476,100.609559,pin_3d4d
จุดตรวจวัดอากาศ-22,21.22,19.04,64.13,70,27.7,SW->NE,15/6/66,11:50:00,2023-06-15,14.1394116,100.8616033,pin_3d4d
จุดตรวจวัดอากาศ-23,12.97,83.0,121.58,37,32.9,W->E,24/6/66,10:15:00,2023-06-24,14.1412008,101.1158438,pin_3d4d
จุดตรวจวัดอากาศ-24,13.32,0.0,28.11,41,30.0,W->E,24/6/66,11:45:00,2023-06-24,14.142776,101.3708473,pin_3d4d
จุดตรวจวัดอากาศ-25,27.08,50.23,111.97,43,30.0,W->E,24/6/66,13:42:00,2023-06-24,14.1444556,101.627387,pin_3d4d
จุดตรวจวัดอากาศ-survey-0,18.21,6.27,43.62,68,27.9,SW->NE,15/6/66,10:32:00,2023-06-15,14.5433117,100.9600049,pin_3d4d
จุดตรวจวัดอากาศ-survey-1,21.51,101.89,172.48,34,28.3,SW->NE,15/6/66,15:37:00,2023-06-15,14.6079647,101.0272849,pin_3d4d
จุดตรวจวัดอากาศ-survey-2,29.51,42.34,59.58,47,29.6,SW->NE,11/6/66,11:52:00,2023-06-11,14.6718823,101.0938019,pin_3d4d
จุดตรวจวัดอากาศ-survey-3,43.71,20.28,112.66,79,23.7,SW->NE,11/6/66,13:47:00,2023-06-11,14.7358435,101.1608927,pin_3d4d
จุดตรวจวัดอากาศ-survey-4,14.23,28.46,66.24,50,28.8,SW->NE,11/6/66,15:04:00,2023-06-11,14.8005454,101.2282952,pin_3d4d
จุดตรวจวัดอากาศ-survey-5,23.16,13.35,77.45,43,27.2,SW->NE,13/6/66,16:16:00,2023-06-13,14.8627756,101.2924572,pin_3d4d
จุดตรวจวัดอากาศ-survey-6,14.51,34.83,93.57,42,29.1,SW->NE,13/6/66,15:54:00,2023-06-13,14.9263062,101.3593601,pin_3d4d
