date,station,pm25,pm10,aod_047,aod_055,evi,ndvi,temperature,wind_speed_10m,wind_speed_50m,wind_direction,relative_humidity,rainfall,surface_pressure,fire_count,dist_to_nearest_fire_km,month,day_of_week,dist_to_nearest_factory_km,dist_to_risk_factory_km,lat,lon
2016-01-01,24T,,45.0,0.135,0.101,0.2078,0.41540000000000005,25.2,4.18,6.4,67.9,59.04,0.0,101.39,2.0,21.82765843995579,1,4,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-01,25T,,51.0,,,0.1811,0.3683,25.2,4.18,6.4,67.9,59.04,0.0,101.39,2.0,32.22133451039241,1,4,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-02,24T,,57.0,0.064,0.048,0.2078,0.41540000000000005,25.5,3.2,4.94,53.7,58.66,0.0,101.34,,,1,5,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-02,25T,,55.0,0.144,0.107,0.1811,0.3683,25.5,3.2,4.94,53.7,58.66,0.0,101.34,,,1,5,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-03,24T,,73.0,0.218,0.1635,0.2078,0.41540000000000005,27.04,1.86,2.94,36.2,52.2,0.0,101.16,,,1,6,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-03,25T,,66.0,0.2565,0.1925,0.1811,0.3683,27.04,1.86,2.94,36.2,52.2,0.0,101.16,,,1,6,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-04,24T,,129.0,0.2575,0.193,0.2078,0.41540000000000005,28.22,1.23,1.66,347.7,46.2,0.0,101.08,,,1,0,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-04,25T,,78.0,0.269,0.202,0.1811,0.3683,28.22,1.23,1.66,347.7,46.2,0.0,101.08,,,1,0,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-05,24T,,249.0,0.322,0.2435,0.2078,0.41540000000000005,27.43,1.56,2.11,324.8,49.18,0.0,101.02,2.0,22.28723194449298,1,1,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-05,25T,,71.0,0.3395,0.256,0.1811,0.3683,27.43,1.56,2.11,324.8,49.18,0.0,101.02,2.0,30.061247139739002,1,1,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-06,24T,,219.0,,,0.2078,0.41540000000000005,27.83,1.04,1.5,21.0,50.94,0.0,101.05,1.0,7.897386909723967,1,2,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-06,25T,,70.0,,,0.1811,0.3683,27.83,1.04,1.5,21.0,50.94,0.0,101.05,1.0,25.082258259282128,1,2,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-07,24T,,266.0,,,0.2078,0.41540000000000005,29.06,0.54,0.72,63.2,44.82,0.0,101.08,,,1,3,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-07,25T,,112.0,,,0.1811,0.3683,29.06,0.54,0.72,63.2,44.82,0.0,101.08,,,1,3,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-08,24T,,202.0,,,0.2078,0.41540000000000005,28.36,1.24,1.89,172.6,58.74,0.31,101.01,,,1,4,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-08,25T,,134.0,,,0.1811,0.3683,28.36,1.24,1.89,172.6,58.74,0.31,101.01,,,1,4,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-09,24T,,115.0,,,0.2078,0.41540000000000005,27.53,3.41,5.35,194.5,69.24,0.48,100.92,,,1,5,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-09,25T,,77.0,,,0.1811,0.3683,27.53,3.41,5.35,194.5,69.24,0.48,100.92,,,1,5,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-10,24T,,106.0,,,0.2078,0.41540000000000005,26.54,2.32,3.54,265.9,69.78,2.69,100.99,,,1,6,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-10,25T,,63.0,,,0.1811,0.3683,26.54,2.32,3.54,265.9,69.78,2.69,100.99,,,1,6,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-11,24T,,147.0,,,0.2078,0.41540000000000005,27.32,1.3,1.84,247.0,59.87,0.53,100.98,,,1,0,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-11,25T,,70.0,,,0.1811,0.3683,27.32,1.3,1.84,247.0,59.87,0.53,100.98,,,1,0,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-12,24T,,190.0,,,0.2078,0.41540000000000005,27.62,1.85,2.81,180.5,62.64,0.16,100.87,1.0,22.92042295680443,1,1,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-12,25T,,75.0,,,0.1811,0.3683,27.62,1.85,2.81,180.5,62.64,0.16,100.87,1.0,9.398574707798957,1,1,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-13,24T,,190.0,0.551,0.42,0.2078,0.41540000000000005,28.08,2.15,3.4,170.4,61.35,0.0,100.8,2.0,31.02109804469213,1,2,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-13,25T,,82.0,0.523,0.396,0.1811,0.3683,28.08,2.15,3.4,170.4,61.35,0.0,100.8,2.0,16.277442375396824,1,2,2.2477409380213764,2.2477409380213764,14.526343,100.926047
2016-01-14,24T,,164.0,,,0.2078,0.41540000000000005,28.69,2.1,3.45,190.3,66.9,0.0,100.82,,,1,3,0.89844147982966,0.89844147982966,14.685833,100.871996
2016-01-14,25T,,72.0,,,0.1811,0.3683,28.69,2.1,3.45,190.3,66.9,0.0,100.82,,,1,3,2.2477409380213764,2.2477409380213764,14.526343,100.926047
