metric,value
mean_r2_random_cv,0.6520912650959131
mean_r2_spatial_cv,0.03885678800839437
n_valid_spatial_folds,2
mean_rmse_random_cv,10.301276972645509
mean_rmse_spatial_cv,16.07729293905443
mean_mae_random_cv,7.6430677769118205
mean_mae_spatial_cv,13.084603193550183
external_val_r2,0.07337477236932455
external_val_rmse,9.993945863726521
external_val_mae,7.121015707839172
external_val_n,13
n_estimators,500
max_depth,None
random_state,42
n_features,21
n_rows_used,1632
pct_rows_dropped_missing,0.7765607886089814
